symbol,date,price
MSFT,Jan 1 2000,39.81
MSFT,Feb 1 2000,36.35
MSFT,Mar 1 2000,43.22
MSFT,Apr 1 2000,28.37
MSFT,May 1 2000,25.45
MSFT,Jun 1 2000,32.54
MSFT,Jul 1 2000,28.4
MSFT,Aug 1 2000,28.4
MSFT,Sep 1 2000,24.53
MSFT,Oct 1 2000,28.02
MSFT,Nov 1 2000,23.34
MSFT,Dec 1 2000,17.65
MSFT,Jan 1 2001,24.84
MSFT,Feb 1 2001,24
MSFT,Mar 1 2001,22.25
MSFT,Apr 1 2001,27.56
MSFT,May 1 2001,28.14
MSFT,Jun 1 2001,29.7
MSFT,Jul 1 2001,26.93
MSFT,Aug 1 2001,23.21
MSFT,Sep 1 2001,20.82
MSFT,Oct 1 2001,23.65
MSFT,Nov 1 2001,26.12
MSFT,Dec 1 2001,26.95
MSFT,Jan 1 2002,25.92
MSFT,Feb 1 2002,23.73
MSFT,Mar 1 2002,24.53
MSFT,Apr 1 2002,21.26
MSFT,May 1 2002,20.71
MSFT,Jun 1 2002,22.25
MSFT,Jul 1 2002,19.52
MSFT,Aug 1 2002,19.97
MSFT,Sep 1 2002,17.79
MSFT,Oct 1 2002,21.75
MSFT,Nov 1 2002,23.46
MSFT,Dec 1 2002,21.03
MSFT,Jan 1 2003,19.31
MSFT,Feb 1 2003,19.34
MSFT,Mar 1 2003,19.76
MSFT,Apr 1 2003,20.87
MSFT,May 1 2003,20.09
MSFT,Jun 1 2003,20.93
MSFT,Jul 1 2003,21.56
MSFT,Aug 1 2003,21.65
MSFT,Sep 1 2003,22.69
MSFT,Oct 1 2003,21.45
MSFT,Nov 1 2003,21.1
MSFT,Dec 1 2003,22.46
MSFT,Jan 1 2004,22.69
MSFT,Feb 1 2004,21.77
MSFT,Mar 1 2004,20.46
MSFT,Apr 1 2004,21.45
MSFT,May 1 2004,21.53
MSFT,Jun 1 2004,23.44
MSFT,Jul 1 2004,23.38
MSFT,Aug 1 2004,22.47
MSFT,Sep 1 2004,22.76
MSFT,Oct 1 2004,23.02
MSFT,Nov 1 2004,24.6
MSFT,Dec 1 2004,24.52
MSFT,Jan 1 2005,24.11
MSFT,Feb 1 2005,23.15
MSFT,Mar 1 2005,22.24
MSFT,Apr 1 2005,23.28
MSFT,May 1 2005,23.82
MSFT,Jun 1 2005,22.93
MSFT,Jul 1 2005,23.64
MSFT,Aug 1 2005,25.35
MSFT,Sep 1 2005,23.83
MSFT,Oct 1 2005,23.8
MSFT,Nov 1 2005,25.71
MSFT,Dec 1 2005,24.29
MSFT,Jan 1 2006,26.14
MSFT,Feb 1 2006,25.04
MSFT,Mar 1 2006,25.36
MSFT,Apr 1 2006,22.5
MSFT,May 1 2006,21.19
MSFT,Jun 1 2006,21.8
MSFT,Jul 1 2006,22.51
MSFT,Aug 1 2006,24.13
MSFT,Sep 1 2006,25.68
MSFT,Oct 1 2006,26.96
MSFT,Nov 1 2006,27.66
MSFT,Dec 1 2006,28.13
MSFT,Jan 1 2007,29.07
MSFT,Feb 1 2007,26.63
MSFT,Mar 1 2007,26.35
MSFT,Apr 1 2007,28.3
MSFT,May 1 2007,29.11
MSFT,Jun 1 2007,27.95
MSFT,Jul 1 2007,27.5
MSFT,Aug 1 2007,27.34
MSFT,Sep 1 2007,28.04
MSFT,Oct 1 2007,35.03
MSFT,Nov 1 2007,32.09
MSFT,Dec 1 2007,34
MSFT,Jan 1 2008,31.13
MSFT,Feb 1 2008,26.07
MSFT,Mar 1 2008,27.21
MSFT,Apr 1 2008,27.34
MSFT,May 1 2008,27.25
MSFT,Jun 1 2008,26.47
MSFT,Jul 1 2008,24.75
MSFT,Aug 1 2008,26.36
MSFT,Sep 1 2008,25.78
MSFT,Oct 1 2008,21.57
MSFT,Nov 1 2008,19.66
MSFT,Dec 1 2008,18.91
MSFT,Jan 1 2009,16.63
MSFT,Feb 1 2009,15.81
MSFT,Mar 1 2009,17.99
MSFT,Apr 1 2009,19.84
MSFT,May 1 2009,20.59
MSFT,Jun 1 2009,23.42
MSFT,Jul 1 2009,23.18
MSFT,Aug 1 2009,24.43
MSFT,Sep 1 2009,25.49
MSFT,Oct 1 2009,27.48
MSFT,Nov 1 2009,29.27
MSFT,Dec 1 2009,30.34
MSFT,Jan 1 2010,28.05
MSFT,Feb 1 2010,28.67
MSFT,Mar 1 2010,28.8
